skills,interests,education,recommended_career,skills_mapped
"kubernetes, tensorflow, python, mathematics, hadoop",,bachelor,robotics engineer,hadoop;kubernetes;mathematics;python;tensorflow
"mlops, java, sql, r, statistics",,master,ai product manager,java;mlops;r;sql;statistics
"gcp, kubernetes, hadoop, linux",,master,research scientist,gcp;hadoop;kubernetes;linux
"kubernetes, tableau, java, r, sql",,phd,robotics engineer,java;kubernetes;r;sql;tableau
"python, azure, spark, docker, data visualization",,phd,robotics engineer,azure;data visualization;docker;python;spark
"nlp, r, linux, docker",,associate,data engineer,docker;linux;nlp;r
"tensorflow, mlops, java, computer vision, gcp",,bachelor,ai architect,computer vision;gcp;java;mlops;tensorflow
"spark, linux, scala",,phd,principal data scientist,linux;scala;spark
"data visualization, aws, azure, gcp",,associate,machine learning engineer,aws;azure;data visualization;gcp
"sql, gcp, statistics, pytorch, scala",,phd,robotics engineer,gcp;pytorch;scala;sql;statistics
"gcp, java, mlops, r",,associate,nlp engineer,gcp;java;mlops;r
"docker, spark, kubernetes, data visualization, azure",,master,robotics engineer,azure;data visualization;docker;kubernetes;spark
"python, aws, deep learning, hadoop, azure",,phd,research scientist,aws;azure;deep learning;hadoop;python
"mathematics, deep learning, r",,master,ml ops engineer,deep learning;mathematics;r
"pytorch, tensorflow, mlops, gcp",,associate,data analyst,gcp;mlops;pytorch;tensorflow
"data visualization, scala, spark",,phd,ai architect,data visualization;scala;spark
"tensorflow, nlp, tableau, computer vision, data visualization",,phd,ml ops engineer,computer vision;data visualization;nlp;tableau;tensorflow
"data visualization, tableau, kubernetes, sql, azure",,phd,deep learning engineer,azure;data visualization;kubernetes;sql;tableau
"pytorch, computer vision, tensorflow, azure",,master,nlp engineer,azure;computer vision;pytorch;tensorflow
"pytorch, sql, nlp, mathematics",,bachelor,machine learning engineer,mathematics;nlp;pytorch;sql
"pytorch, nlp, tableau, linux, mlops",,phd,ai consultant,linux;mlops;nlp;pytorch;tableau
"computer vision, deep learning, tableau, tensorflow",,master,computer vision engineer,computer vision;deep learning;tableau;tensorflow
"java, pytorch, azure, nlp, mathematics",,phd,ai specialist,azure;java;mathematics;nlp;pytorch
"hadoop, kubernetes, tableau, python",,master,ai consultant,hadoop;kubernetes;python;tableau
"spark, git, deep learning, sql",,master,head of ai,deep learning;git;spark;sql
"spark, hadoop, java",,bachelor,head of ai,hadoop;java;spark
"aws, python, docker, nlp, gcp",,associate,head of ai,aws;docker;gcp;nlp;python
"pytorch, data visualization, scala",,master,robotics engineer,data visualization;pytorch;scala
"java, r, computer vision, tensorflow",,associate,principal data scientist,computer vision;java;r;tensorflow
"scala, git, python",,bachelor,nlp engineer,git;python;scala
"r, linux, tableau, java",,phd,autonomous systems engineer,java;linux;r;tableau
"deep learning, tensorflow, computer vision",,associate,nlp engineer,computer vision;deep learning;tensorflow
"sql, hadoop, tableau, mathematics",,master,ai software engineer,hadoop;mathematics;sql;tableau
"nlp, pytorch, scala",,associate,nlp engineer,nlp;pytorch;scala
"sql, nlp, pytorch, computer vision, tensorflow",,bachelor,ai architect,computer vision;nlp;pytorch;sql;tensorflow
"linux, azure, mathematics, computer vision, python",,associate,ai software engineer,azure;computer vision;linux;mathematics;python
"spark, python, mathematics",,phd,machine learning researcher,mathematics;python;spark
"pytorch, java, docker, scala, statistics",,master,ml ops engineer,docker;java;pytorch;scala;statistics
"python, mlops, hadoop",,bachelor,autonomous systems engineer,hadoop;mlops;python
"gcp, docker, sql",,master,data engineer,docker;gcp;sql
"pytorch, linux, nlp",,associate,principal data scientist,linux;nlp;pytorch
"pytorch, tensorflow, computer vision, data visualization, gcp",,associate,data analyst,computer vision;data visualization;gcp;pytorch;tensorflow
"spark, pytorch, tensorflow, sql, aws",,associate,ai software engineer,aws;pytorch;spark;sql;tensorflow
"deep learning, hadoop, tableau, kubernetes",,master,computer vision engineer,deep learning;hadoop;kubernetes;tableau
"mlops, deep learning, scala",,master,research scientist,deep learning;mlops;scala
"hadoop, aws, computer vision, java, nlp",,phd,ai specialist,aws;computer vision;hadoop;java;nlp
"java, git, pytorch, r",,bachelor,autonomous systems engineer,git;java;pytorch;r
"kubernetes, linux, python",,associate,ai specialist,kubernetes;linux;python
"scala, computer vision, tableau, mlops",,master,ai specialist,computer vision;mlops;scala;tableau
"deep learning, tableau, data visualization, java, scala",,phd,research scientist,data visualization;deep learning;java;scala;tableau
"scala, java, linux, nlp",,associate,ai architect,java;linux;nlp;scala
"sql, python, azure, statistics, scala",,bachelor,ai specialist,azure;python;scala;sql;statistics
"deep learning, computer vision, docker, spark",,bachelor,head of ai,computer vision;deep learning;docker;spark
"statistics, java, mlops, tableau, sql",,bachelor,robotics engineer,java;mlops;sql;statistics;tableau
"kubernetes, statistics, python",,master,ai product manager,kubernetes;python;statistics
"mathematics, kubernetes, java, docker, linux",,phd,autonomous systems engineer,docker;java;kubernetes;linux;mathematics
"sql, kubernetes, azure, data visualization",,bachelor,nlp engineer,azure;data visualization;kubernetes;sql
"hadoop, docker, gcp, sql, python",,associate,head of ai,docker;gcp;hadoop;python;sql
"pytorch, gcp, linux, computer vision",,master,autonomous systems engineer,computer vision;gcp;linux;pytorch
"mlops, python, hadoop, tensorflow, git",,associate,ai consultant,git;hadoop;mlops;python;tensorflow
"tensorflow, sql, r, spark",,bachelor,data analyst,r;spark;sql;tensorflow
"kubernetes, hadoop, statistics, deep learning, sql",,bachelor,data analyst,deep learning;hadoop;kubernetes;sql;statistics
"kubernetes, linux, sql",,phd,data engineer,kubernetes;linux;sql
"gcp, mlops, aws, computer vision, git",,associate,ai software engineer,aws;computer vision;gcp;git;mlops
"git, python, data visualization, hadoop",,master,ai architect,data visualization;git;hadoop;python
"pytorch, spark, gcp",,bachelor,machine learning researcher,gcp;pytorch;spark
"hadoop, git, python",,master,nlp engineer,git;hadoop;python
"hadoop, azure, r, nlp",,associate,ai consultant,azure;hadoop;nlp;r
"kubernetes, tableau, hadoop, data visualization, java",,bachelor,ml ops engineer,data visualization;hadoop;java;kubernetes;tableau
"mlops, java, hadoop, statistics",,master,robotics engineer,hadoop;java;mlops;statistics
"python, nlp, linux",,master,ai product manager,linux;nlp;python
"python, nlp, data visualization, aws",,master,data engineer,aws;data visualization;nlp;python
"docker, gcp, deep learning",,bachelor,deep learning engineer,deep learning;docker;gcp
"mlops, python, deep learning, linux, tensorflow",,associate,ai architect,deep learning;linux;mlops;python;tensorflow
"mathematics, python, hadoop",,master,ml ops engineer,hadoop;mathematics;python
"hadoop, python, linux, git, kubernetes",,master,principal data scientist,git;hadoop;kubernetes;linux;python
"java, hadoop, statistics, kubernetes",,associate,data analyst,hadoop;java;kubernetes;statistics
"computer vision, git, tableau",,bachelor,machine learning engineer,computer vision;git;tableau
"tensorflow, azure, tableau",,bachelor,principal data scientist,azure;tableau;tensorflow
"gcp, kubernetes, spark",,phd,ai architect,gcp;kubernetes;spark
"pytorch, sql, tableau, hadoop, nlp",,bachelor,nlp engineer,hadoop;nlp;pytorch;sql;tableau
"docker, azure, data visualization, gcp, aws",,master,robotics engineer,aws;azure;data visualization;docker;gcp
"hadoop, spark, nlp, r",,associate,machine learning researcher,hadoop;nlp;r;spark
"nlp, linux, statistics",,phd,ai product manager,linux;nlp;statistics
"tensorflow, linux, data visualization",,master,ai consultant,data visualization;linux;tensorflow
"git, linux, mlops, deep learning, azure",,master,ai software engineer,azure;deep learning;git;linux;mlops
"hadoop, r, spark, kubernetes",,associate,head of ai,hadoop;kubernetes;r;spark
"aws, scala, deep learning",,bachelor,deep learning engineer,aws;deep learning;scala
"docker, statistics, linux",,bachelor,robotics engineer,docker;linux;statistics
"java, kubernetes, computer vision, mathematics",,bachelor,ai specialist,computer vision;java;kubernetes;mathematics
"hadoop, r, mathematics",,master,ai specialist,hadoop;mathematics;r
"statistics, aws, git",,phd,machine learning engineer,aws;git;statistics
"pytorch, aws, mlops, gcp",,phd,ai specialist,aws;gcp;mlops;pytorch
"python, mathematics, hadoop, scala, azure",,bachelor,ai software engineer,azure;hadoop;mathematics;python;scala
"scala, linux, aws",,phd,robotics engineer,aws;linux;scala
"scala, azure, linux, kubernetes",,bachelor,computer vision engineer,azure;kubernetes;linux;scala
"pytorch, computer vision, data visualization, java",,associate,principal data scientist,computer vision;data visualization;java;pytorch
"sql, tensorflow, r",,associate,ai specialist,r;sql;tensorflow
"gcp, mlops, azure, sql",,associate,head of ai,azure;gcp;mlops;sql
"hadoop, sql, data visualization, pytorch",,phd,autonomous systems engineer,data visualization;hadoop;pytorch;sql
"hadoop, java, deep learning, linux, scala",,bachelor,deep learning engineer,deep learning;hadoop;java;linux;scala
"nlp, hadoop, java",,phd,ai product manager,hadoop;java;nlp
"data visualization, kubernetes, hadoop, mlops, spark",,master,deep learning engineer,data visualization;hadoop;kubernetes;mlops;spark
"statistics, linux, computer vision, git",,master,ai product manager,computer vision;git;linux;statistics
"statistics, python, computer vision",,phd,data engineer,computer vision;python;statistics
"scala, python, kubernetes",,associate,autonomous systems engineer,kubernetes;python;scala
"gcp, scala, nlp, deep learning",,associate,machine learning researcher,deep learning;gcp;nlp;scala
"statistics, docker, deep learning, python",,master,data analyst,deep learning;docker;python;statistics
"gcp, linux, deep learning",,phd,ai product manager,deep learning;gcp;linux
"mathematics, linux, mlops",,associate,data engineer,linux;mathematics;mlops
"mlops, tableau, deep learning, linux, r",,master,ai consultant,deep learning;linux;mlops;r;tableau
"r, git, mlops, computer vision",,associate,autonomous systems engineer,computer vision;git;mlops;r
"mlops, computer vision, statistics, r, spark",,master,deep learning engineer,computer vision;mlops;r;spark;statistics
"kubernetes, pytorch, tensorflow, docker, nlp",,phd,machine learning researcher,docker;kubernetes;nlp;pytorch;tensorflow
"hadoop, git, scala",,master,data engineer,git;hadoop;scala
"python, deep learning, sql",,associate,ai consultant,deep learning;python;sql
"aws, pytorch, sql",,master,data analyst,aws;pytorch;sql
"pytorch, sql, nlp, mlops",,associate,data engineer,mlops;nlp;pytorch;sql
"linux, scala, deep learning, data visualization, docker",,associate,ai product manager,data visualization;deep learning;docker;linux;scala
"aws, statistics, sql, mlops, tableau",,bachelor,data analyst,aws;mlops;sql;statistics;tableau
"scala, r, linux, hadoop",,associate,principal data scientist,hadoop;linux;r;scala
"sql, tensorflow, tableau, data visualization, deep learning",,phd,computer vision engineer,data visualization;deep learning;sql;tableau;tensorflow
"hadoop, pytorch, sql",,phd,nlp engineer,hadoop;pytorch;sql
"data visualization, java, kubernetes",,bachelor,ai specialist,data visualization;java;kubernetes
"spark, hadoop, deep learning",,bachelor,principal data scientist,deep learning;hadoop;spark
"tensorflow, pytorch, kubernetes, docker, spark",,associate,autonomous systems engineer,docker;kubernetes;pytorch;spark;tensorflow
"mlops, linux, python, tensorflow, java",,master,nlp engineer,java;linux;mlops;python;tensorflow
"python, tensorflow, pytorch, sql, data visualization",,associate,data engineer,data visualization;python;pytorch;sql;tensorflow
"r, spark, tableau, aws, hadoop",,master,nlp engineer,aws;hadoop;r;spark;tableau
"git, r, mlops, gcp",,associate,machine learning researcher,gcp;git;mlops;r
"tensorflow, python, nlp",,master,autonomous systems engineer,nlp;python;tensorflow
"nlp, java, linux, computer vision, git",,master,principal data scientist,computer vision;git;java;linux;nlp
"java, spark, computer vision, nlp",,associate,deep learning engineer,computer vision;java;nlp;spark
"aws, tensorflow, azure, spark",,master,ml ops engineer,aws;azure;spark;tensorflow
"deep learning, pytorch, kubernetes, java, data visualization",,master,research scientist,data visualization;deep learning;java;kubernetes;pytorch
"pytorch, kubernetes, sql, tableau, aws",,associate,ai architect,aws;kubernetes;pytorch;sql;tableau
"scala, tensorflow, tableau, python, docker",,associate,ai specialist,docker;python;scala;tableau;tensorflow
"r, statistics, java, azure",,master,machine learning researcher,azure;java;r;statistics
"azure, python, r, tensorflow",,associate,research scientist,azure;python;r;tensorflow
"hadoop, kubernetes, scala",,master,data analyst,hadoop;kubernetes;scala
"gcp, scala, spark",,phd,robotics engineer,gcp;scala;spark
